genetic;exercise;smoking;alcohol;sugar;lifespan;BMI
82;0;21;3;1;54;33
83;1;0;6;3;75;27
81;1;0;2;3;81;21
78;1;0;9;2;77;22
79;3;20;1;1;87;19
79;2;5;7;2;83;13
79;1;18;6;3;59;27
78;3;2;8;1;93;22
80;1;19;6;3;52;26
80;2;17;1;1;78;22
79;3;16;6;3;78;29
82;2;19;10;2;67;27
80;1;10;7;3;67;23
82;3;3;8;4;85;25
81;2;0;2;5;89;17
80;2;8;2;3;88;21
77;1;0;9;2;75;15
79;1;20;4;3;67;20
81;1;17;7;4;63;25
82;3;8;8;2;96;21
79;1;1;7;2;80;16
83;1;9;9;2;78;19
81;3;18;5;1;90;19
78;3;4;9;2;91;21
81;1;10;0;1;84;21
81;1;15;8;2;69;21
77;2;12;9;2;72;23
79;2;21;7;2;67;20
81;1;21;2;2;70;19
79;1;15;6;3;65;27
80;1;16;5;2;68;24
79;1;17;8;4;49;28
78;2;10;4;3;82;20
79;2;21;10;1;70;24
78;1;13;9;2;66;20
79;2;18;5;1;75;24
77;1;0;8;4;70;26
81;4;7;3;1;101;31
79;2;1;1;3;85;28
81;1;16;5;2;62;38
78;3;18;6;1;74;37
77;1;14;3;1;63;34
81;2;10;9;3;72;24
81;1;13;3;1;68;30
79;2;9;1;2;74;39
77;2;2;7;4;82;22
79;1;11;8;2;73;14
82;3;1;8;4;94;18
79;0;0;7;2;69;23
78;1;10;1;1;74;22
83;2;16;5;3;80;23
78;1;13;7;3;60;26
81;2;5;1;1;95;15
80;0;9;2;5;53;35
79;1;10;6;1;69;28
80;3;5;9;1;92;24
83;2;6;9;2;84;27
80;1;6;2;3;73;25
79;1;6;7;2;74;16
79;2;3;1;1;85;28
78;2;14;6;2;64;36
80;3;0;5;4;95;26
78;2;0;8;3;80;21
79;3;15;5;2;88;19
81;2;10;3;3;77;29
81;1;6;7;2;76;24
80;2;11;5;3;76;29
82;3;16;3;2;87;30
78;4;20;1;1;91;30
80;1;10;8;3;73;19
81;2;8;4;2;89;17
76;2;0;7;2;78;31
80;1;13;8;2;63;20
82;1;1;0;2;86;21
80;3;4;6;3;95;15
77;2;9;7;2;79;25
81;1;22;2;4;58;27
80;1;17;6;2;66;24
83;1;17;2;4;61;29
79;3;10;2;3;96;16
81;2;18;5;3;76;22
79;1;11;9;2;67;27
77;0;7;6;2;63;24
78;2;0;8;3;89;21
79;1;7;6;2;77;19
83;1;2;9;2;79;23
79;1;1;7;2;77;30
81;1;1;2;3;80;24
79;3;6;6;3;90;22
81;1;13;2;3;68;26
79;3;18;9;3;80;21
80;1;10;10;2;71;17
80;2;5;9;3;80;26
81;3;0;9;1;99;27
79;2;0;3;3;92;23
82;1;16;7;3;60;33
82;1;1;8;1;79;23
83;3;11;4;2;94;30
79;3;13;8;2;84;28
79;1;1;1;4;81;19
82;3;9;1;1;100;19
80;2;16;6;4;73;23
81;3;15;6;2;79;28
79;2;11;9;2;81;21
80;1;12;6;2;67;26
81;3;9;5;4;88;25
82;2;3;4;2;91;27
81;1;14;9;4;60;29
81;1;1;8;2;78;20
80;1;21;8;2;65;16
81;2;22;9;3;61;27
80;2;19;9;1;72;19
80;1;20;8;4;63;16
76;2;11;9;4;60;28
80;2;12;6;1;75;34
80;3;9;6;3;89;18
79;2;19;5;1;75;23
78;1;2;9;2;68;29
77;1;22;3;1;61;26
81;1;13;7;1;70;27
80;0;9;10;2;58;27
81;1;6;8;3;70;31
80;4;6;3;2;105;24
79;1;7;6;3;65;34
79;2;4;8;2;81;18
77;2;14;5;2;80;16
82;2;11;9;2;77;22
77;1;14;3;1;75;22
82;1;12;8;2;71;20
82;2;0;4;1;101;18
79;3;20;7;3;77;23
80;4;8;4;3;88;37
77;1;3;8;2;67;28
82;1;19;2;2;70;26
79;3;16;7;2;79;28
81;2;16;3;4;72;21
79;1;12;6;2;68;21
80;2;6;8;2;87;21
83;2;13;10;3;74;21
77;0;8;8;3;60;18
77;3;2;0;4;87;32
77;2;1;8;2;78;34
82;1;20;8;1;61;29
78;0;6;7;2;63;24
78;0;12;8;3;54;21
80;1;2;9;4;72;25
79;1;10;7;3;64;21
80;1;0;3;1;77;29
78;1;17;7;3;57;27
82;2;12;8;4;71;22
80;1;1;7;4;76;25
81;2;1;6;3;88;20
83;1;17;3;3;66;23
81;1;2;4;2;78;31
80;1;4;1;2;84;24
80;1;8;5;3;69;33
81;1;9;8;5;54;30
79;0;9;8;2;65;19
77;2;9;2;3;79;30
81;1;5;7;1;83;20
80;1;12;9;3;67;22
79;3;4;7;1;100;18
79;1;15;5;2;70;21
81;1;13;1;1;70;35
79;1;15;9;2;67;17
78;1;5;4;2;74;22
81;1;19;8;1;74;14
81;2;10;5;3;72;26
76;1;9;9;2;69;17
78;2;21;7;3;70;24
80;1;21;0;2;67;17
81;3;18;7;1;87;28
80;2;11;9;4;70;30
79;1;16;8;3;65;18
82;2;4;7;1;93;22
79;2;15;3;2;77;31
79;1;21;6;4;53;22
78;2;11;7;4;78;18
83;2;11;3;1;89;19
80;1;4;7;3;74;20
79;2;12;8;4;68;22
79;1;13;8;2;70;20
80;2;21;9;3;66;25
79;1;16;9;4;57;22
80;1;3;3;3;67;35
76;2;18;8;3;67;19
83;3;18;6;3;85;28
80;3;20;2;1;80;31
81;1;12;0;3;76;20
78;2;7;1;1;94;21
79;2;9;3;4;76;18
82;2;0;6;2;90;25
78;1;3;7;5;70;21
80;1;17;7;2;66;22
79;3;7;7;3;91;27
81;1;13;1;2;76;28
78;2;0;2;2;91;25
78;1;18;8;2;60;26
77;2;1;8;3;80;26
76;1;21;4;3;59;23
81;1;11;6;3;58;37
81;1;13;9;2;70;17
81;1;1;3;1;85;27
78;1;0;9;3;70;29
80;1;4;4;2;81;27
82;1;7;4;1;79;24
81;1;22;2;3;65;17
79;1;6;8;3;62;30
81;1;21;8;2;64;21
80;2;11;9;2;76;26
80;3;0;0;2;99;34
78;3;5;5;3;87;22
80;2;9;2;3;86;21
81;1;0;1;2;86;25
77;3;8;5;2;85;23
79;1;16;7;2;65;20
80;1;1;8;2;81;23
80;1;21;8;2;59;24
80;1;11;10;2;65;22
81;4;18;9;2;85;31
78;1;3;2;2;78;23
79;2;9;8;2;79;22
80;2;1;5;2;92;20
80;1;5;2;3;70;34
79;2;16;4;3;71;28
79;1;18;3;2;64;26
80;3;6;4;1;96;21
81;1;18;8;2;65;29
77;1;6;9;4;61;19
81;2;22;7;1;75;25
81;1;19;3;3;63;26
80;1;0;6;2;82;21
77;2;18;6;2;67;27
79;3;5;2;2;101;17
79;1;6;10;3;72;19
76;2;20;0;4;62;28
81;2;8;9;3;78;25
80;1;14;6;2;71;22
79;1;3;5;1;79;26
78;3;14;2;2;94;17
81;1;8;8;3;67;20
80;3;19;1;2;86;19
80;1;6;6;2;77;22
79;2;7;7;3;75;28
80;2;0;7;3;82;24
82;1;16;9;2;65;23
79;1;21;9;2;62;25
80;1;13;3;3;69;20
80;1;4;8;2;76;22
79;3;5;3;2;91;27
79;1;10;9;4;63;22
79;1;2;3;3;70;26
81;1;0;7;2;84;24
81;4;20;7;1;91;24
81;1;15;8;1;67;24
80;2;6;3;1;89;24
81;2;0;3;2;98;18
79;1;20;3;4;62;26
80;3;10;8;1;91;26
81;3;21;3;2;87;19
78;2;8;9;2;74;25
76;2;14;5;4;75;21
81;2;2;9;2;80;29
81;2;1;7;2;96;18
80;2;13;8;3;77;23
80;1;20;9;2;65;24
81;1;3;4;2;70;36
79;1;6;4;4;74;22
79;3;7;7;2;92;22
80;2;4;10;5;70;31
81;2;6;8;2;89;17
81;3;13;4;3;91;24
79;1;2;7;3;74;24
79;2;16;7;3;69;32
77;0;19;9;3;50;24
80;3;11;10;2;91;25
80;1;5;6;3;68;33
78;1;17;9;3;56;20
81;1;1;1;1;84;23
79;1;9;8;3;67;18
79;1;10;9;2;72;21
82;2;15;6;2;81;20
79;1;7;6;3;67;23
83;2;12;7;1;88;20
80;1;14;7;2;72;20
78;0;12;5;3;57;29
79;1;18;10;3;62;18
79;2;18;7;3;77;16
80;2;16;9;1;76;19
79;2;0;5;2;88;19
80;2;22;5;1;71;25
83;1;6;6;3;71;24
82;1;5;6;4;68;22
81;1;12;7;2;74;26
80;1;13;8;4;61;26
81;2;0;9;1;96;14
80;3;2;4;2;91;28
80;2;17;3;3;71;26
79;2;8;8;3;81;20
78;1;6;2;2;77;22
84;1;5;9;2;73;23
78;2;21;1;3;67;24
80;2;0;4;2;96;18
82;4;18;6;1;97;21
78;1;0;1;3;75;35
83;3;0;5;1;108;24
80;1;2;7;3;72;22
78;1;14;7;2;72;15
80;1;9;3;1;73;25
80;3;1;4;2;107;19
78;1;17;8;1;60;24
80;2;0;2;1;96;21
76;1;17;5;2;66;19
80;3;5;5;1;101;24
79;2;12;3;4;79;23
79;1;22;0;3;71;18
80;1;0;5;3;81;24
79;4;2;9;3;97;22
80;1;1;3;2;76;26
79;1;18;9;2;65;22
81;2;14;7;3;67;33
77;1;5;4;3;69;25
81;2;6;9;2;87;20
79;2;1;5;2;91;22
80;1;20;1;3;63;25
80;2;12;2;1;92;20
81;1;21;8;3;64;16
83;2;3;3;3;86;30
81;2;18;8;3;73;22
81;2;21;6;2;76;27
79;1;18;5;3;66;19
81;1;0;8;2;77;29
80;3;11;5;5;80;23
82;2;0;7;4;82;22
78;3;9;1;3;91;23
81;4;9;7;1;101;22
79;1;14;5;5;62;22
82;2;10;1;2;87;25
81;1;15;7;1;72;26
79;1;5;6;2;71;31
78;1;7;7;2;72;29
78;2;0;0;2;89;23
80;2;17;9;1;70;28
82;1;16;9;3;61;28
78;1;6;1;3;75;16
80;1;3;7;3;75;22
81;1;8;9;2;75;22
80;1;15;8;2;74;18
78;1;16;4;2;69;28
79;2;21;0;4;66;24
79;2;5;5;4;72;30
78;1;6;4;2;74;18
77;1;1;5;1;88;16
78;1;0;7;2;80;26
79;3;13;3;3;86;20
77;3;10;9;3;86;20
84;1;14;7;3;66;20
79;2;1;0;1;100;19
82;3;4;9;4;87;20
80;2;16;7;2;79;27
79;1;20;9;4;49;29
79;2;0;9;3;81;27
81;3;1;8;2;89;40
80;0;8;8;3;64;21
79;2;7;7;2;84;21
81;3;10;4;2;89;24
79;2;0;9;4;84;19
81;2;18;10;1;79;17
78;1;16;4;2;67;21
82;1;4;4;5;70;26
80;1;3;6;3;77;24
80;2;15;8;3;78;19
83;2;3;5;3;89;15
81;1;7;7;2;75;24
81;2;20;3;4;69;21
78;2;4;7;2;87;24
78;1;2;9;2;80;21
79;2;5;4;3;75;29
80;1;8;0;4;75;25
80;2;19;5;4;69;21
81;3;1;7;2;106;19
78;2;2;6;3;82;19
79;1;11;6;3;66;20
77;1;5;7;2;69;30
81;1;4;5;4;72;24
80;2;13;5;3;77;17
82;3;0;5;4;93;25
80;1;2;4;4;75;26
77;1;14;8;1;62;30
79;2;6;8;3;71;27
77;1;17;8;3;63;18
77;1;0;6;1;81;18
79;3;15;2;2;90;23
80;2;0;9;2;84;23
79;3;3;3;2;97;22
84;1;6;4;4;83;16
81;1;21;9;2;64;23
80;0;13;6;2;63;23
80;1;15;7;1;77;18
80;1;5;5;4;77;20
77;1;11;4;2;68;22
82;1;14;4;2;72;26
82;2;3;6;4;76;24
79;1;6;6;3;66;27
80;2;0;6;2;84;27
80;1;18;2;4;61;24
82;2;11;6;4;80;22
80;2;15;6;2;78;23
78;2;7;7;2;76;28
77;1;16;6;3;62;17
81;3;20;7;3;75;26
79;1;14;7;2;61;26
77;1;4;9;4;62;23
80;0;11;0;3;68;20
78;2;14;1;3;77;19
81;1;22;1;2;70;23
79;1;20;5;3;67;16
81;2;13;9;3;77;18
82;2;20;10;2;74;27
78;2;21;9;3;60;28
83;2;0;8;2;92;22
79;1;16;7;4;57;28
78;2;21;1;2;76;21
81;1;14;1;2;78;20
76;2;14;9;1;59;46
79;3;20;8;3;81;19
80;3;1;5;1;100;26
81;3;22;5;1;89;27
78;2;7;4;2;84;25
80;2;18;8;2;75;21
78;2;17;1;2;78;25
79;1;7;4;2;77;18
80;2;0;9;2;80;29
81;3;20;5;3;77;25
79;1;2;4;2;82;26
81;3;8;5;3;86;31
80;1;0;5;2;77;26
80;2;0;9;2;83;33
80;1;20;9;3;50;33
81;1;22;9;5;48;24
80;1;12;5;2;67;23
80;2;0;2;2;94;20
80;1;22;8;4;54;21
78;2;22;9;1;73;24
79;2;12;5;1;88;19
79;3;0;4;1;101;23
78;1;9;1;2;73;25
81;2;22;5;2;72;30
78;2;17;7;3;73;24
80;1;0;8;3;76;27
81;4;3;9;3;94;27
81;1;0;5;2;78;22
81;1;12;9;1;73;21
82;1;16;1;1;71;23
82;2;16;3;2;83;26
80;2;16;4;3;73;24
81;0;13;3;2;65;23
83;3;0;5;3;105;23
81;3;5;7;3;100;20
80;2;22;6;1;73;21
79;2;20;8;5;60;30
78;1;6;8;2;75;23
79;1;2;9;2;79;20
81;2;10;4;2;83;20
81;1;20;4;3;64;23
82;1;13;5;2;75;21
78;2;5;9;2;82;22
81;3;12;1;4;91;20
80;1;14;1;2;70;27
80;1;18;6;3;66;25
80;2;15;3;2;71;32
79;2;22;6;2;71;19
80;3;11;3;3;91;27
82;1;19;4;2;67;27
78;1;14;6;4;56;26
82;2;12;1;3;80;31
80;1;9;4;4;73;24
78;1;0;7;3;70;25
78;2;2;9;3;75;28
80;1;5;7;2;71;23
80;1;18;1;1;81;18
81;1;7;2;3;74;20
82;3;2;6;4;94;20
81;3;9;2;2;101;23
82;3;8;2;2;100;20
78;1;13;4;3;68;18
83;3;20;8;3;81;24
82;2;21;9;4;62;29
81;0;18;6;3;49;34
79;3;14;9;4;76;25
78;2;12;8;3;78;16
80;1;1;5;1;76;41
81;2;13;1;4;80;23
78;3;3;8;3;84;28
80;1;9;8;2;71;23
79;2;5;5;2;83;23
79;1;5;9;4;65;16
80;2;18;9;3;69;21
80;1;19;8;4;51;33
82;1;10;5;2;76;25
79;2;7;3;4;72;28
80;2;10;7;3;70;26
81;3;11;6;2;90;23
77;1;1;5;1;82;21
79;1;21;7;5;47;30
78;1;15;5;2;68;22
81;3;5;5;2;82;44
80;2;0;5;1;90;23
81;0;1;9;2;69;25
82;2;5;1;2;89;27
81;1;4;5;3;69;31
79;1;15;7;2;69;16
79;2;16;3;2;75;33
82;1;13;8;2;69;29
81;1;0;5;3;77;27
78;2;0;4;3;81;26
80;1;4;1;2;79;26
79;2;19;9;2;72;19
82;3;20;6;4;83;17
77;2;20;7;2;64;24
81;1;13;2;1;78;23
78;1;12;5;2;68;23
78;1;11;2;4;69;18
78;1;0;7;2;82;21
80;1;18;7;1;74;19
78;3;5;9;2;92;24
77;3;8;5;3;80;32
79;2;9;7;2;84;23
76;1;22;9;1;59;22
79;3;9;7;3;87;18
78;2;10;5;2;81;22
80;3;19;6;4;78;32
80;3;5;1;2;96;24
80;1;7;5;3;70;21
79;2;10;4;1;80;33
80;2;17;4;2;75;24
82;1;22;1;4;64;21
79;1;1;6;2;75;19
78;3;5;5;2;92;22
79;2;8;8;2;73;34
79;2;0;6;3;83;21
78;2;18;10;4;63;26
80;3;7;2;2;92;26
79;1;22;1;1;63;28
82;1;21;7;2;60;26
84;1;11;8;2;72;25
79;2;10;2;5;72;29
77;2;14;4;4;71;27
79;2;15;8;3;70;28
81;1;9;10;2;68;26
80;3;4;9;3;90;22
77;2;1;8;3;88;19
79;2;22;3;1;70;34
78;3;7;2;2;93;24
76;1;6;1;2;68;28
83;2;4;7;1;96;16
81;2;8;8;3;78;22
80;1;4;1;2;88;20
82;1;7;9;2;75;21
79;2;2;6;3;84;24
82;1;0;5;3;82;23
80;3;16;5;2;83;25
80;1;11;7;5;60;25
77;3;16;5;2;82;23
81;2;19;10;2;68;24
81;1;5;9;3;77;22
80;1;22;3;4;57;30
78;1;8;6;2;71;29
81;2;0;8;1;89;24
79;2;16;5;4;68;18
77;2;16;8;2;68;24
80;1;0;6;1;80;25
79;2;14;9;1;75;28
78;1;21;8;2;62;18
81;3;15;2;2;82;34
80;1;12;4;2;77;18
82;1;5;5;2;73;27
77;3;4;5;2;97;18
81;2;10;6;4;73;21
80;2;0;6;3;80;25
79;1;7;9;1;77;22
80;1;0;7;4;66;31
82;1;12;1;5;72;20
79;3;5;9;1;89;25
79;1;1;10;2;70;34
82;3;13;6;3;86;20
80;1;20;9;3;61;21
80;2;7;3;4;84;23
82;1;16;7;3;63;23
80;0;2;7;2;67;31
78;2;3;4;3;85;20
81;2;13;2;2;86;21
77;1;6;2;3;79;20
80;2;12;7;3;74;24
78;1;2;8;5;69;19
82;1;1;1;3;83;18
81;3;15;9;2;81;25
80;2;21;8;3;61;38
80;1;21;2;2;58;30
81;1;18;9;4;58;26
80;2;0;6;3;79;27
81;1;0;0;4;82;26
82;2;1;4;1;100;17
82;2;7;9;4;73;23
81;2;10;4;2;80;25
78;1;0;3;2;79;26
81;2;0;9;3;84;26
81;1;16;7;3;67;19
79;1;12;4;2;70;24
80;1;18;6;2;65;21
77;1;8;8;1;74;19
81;1;3;5;3;78;17
79;2;21;5;1;72;26
82;1;5;5;2;83;16
81;1;4;8;3;78;21
79;1;21;7;2;62;30
79;0;12;4;3;57;26
80;2;0;7;3;87;20
82;1;17;4;2;72;23
76;2;9;4;1;82;24
81;1;16;6;3;71;19
80;0;3;7;3;70;16
79;0;11;8;3;54;27
79;1;19;6;1;65;23
83;2;3;3;2;92;17
76;4;21;8;3;73;34
80;1;4;8;3;68;29
77;1;20;6;3;63;20
81;2;22;2;3;74;18
76;1;16;7;1;66;27
78;1;5;8;3;73;19
82;3;2;7;1;96;24
80;1;14;5;2;71;26
79;2;4;7;2;90;18
79;2;14;9;4;69;23
79;1;17;7;4;53;22
81;1;12;8;3;64;30
82;1;16;9;5;51;33
79;0;5;0;2;75;20
79;2;0;7;3;82;30
81;3;20;7;2;82;27
82;3;9;8;2;91;24
79;2;1;1;1;96;21
79;1;0;5;3;78;20
78;1;8;8;3;65;22
80;1;16;9;1;64;25
81;3;8;3;2;95;24
81;1;17;9;2;67;24
78;2;5;6;3;75;25
81;2;8;6;3;77;24
81;1;8;6;4;66;23
81;2;0;9;3;85;25
82;1;12;8;4;62;31
80;0;0;6;3;67;20
79;2;17;9;3;70;27
81;2;21;8;3;74;24
82;1;0;7;3;84;21
82;1;1;9;2;72;33
82;1;1;8;5;69;21
79;2;9;6;2;86;23
80;3;18;7;3;88;22
81;0;0;6;4;63;31
77;1;12;7;2;67;17
79;1;1;6;2;78;31
80;1;14;8;3;70;21
81;2;1;7;2;91;20
77;3;2;1;2;97;19
79;1;19;8;2;65;24
80;1;19;7;1;63;24
80;2;13;2;1;88;17
80;1;16;1;2;74;24
78;1;21;7;2;65;17
79;3;1;6;3;91;22
80;1;3;9;3;74;20
81;2;1;3;1;95;23
80;1;22;8;2;56;34
80;2;8;10;3;67;34
82;3;0;9;3;94;30
81;2;3;4;2;91;24
77;2;5;8;2;78;21
81;2;5;7;1;93;22
78;1;21;8;2;55;30
81;2;6;0;2;97;20
79;3;0;7;3;96;22
81;1;3;8;1;87;20
76;1;12;2;3;53;38
76;1;17;8;1;64;21
80;2;0;6;3;89;21
80;2;6;4;2;79;29
79;1;19;3;3;63;23
78;1;16;6;2;59;26
80;2;14;7;3;75;23
79;2;7;6;1;89;21
79;1;1;6;3;69;23
81;2;21;0;4;72;23
79;1;16;9;3;60;20
80;1;0;5;1;88;20
80;2;4;9;3;81;20
80;1;20;9;4;58;25
81;2;19;5;2;73;27
76;1;11;9;2;67;24
79;2;17;8;4;62;30
80;3;12;6;2;86;29
80;2;9;8;3;78;27
81;1;1;4;3;80;27
82;3;5;6;1;100;18
81;2;17;3;3;72;18
80;3;21;7;2;79;22
80;1;0;4;3;81;24
77;1;15;8;1;61;35
81;2;21;9;1;71;24
79;1;14;7;2;67;27
80;1;20;3;3;61;25
80;1;11;6;3;71;24
80;3;1;1;2;105;17
79;2;1;3;2;87;24
80;2;13;1;2;84;22
79;1;15;9;3;56;25
80;3;4;8;2;105;15
80;1;8;9;3;68;22
80;2;19;5;3;75;24
82;1;11;8;4;57;36
82;2;11;6;1;86;20
81;2;3;7;2;82;24
79;2;12;9;3;67;32
81;1;1;6;2;78;26
79;2;8;6;3;82;22
79;1;9;4;3;63;27
81;1;2;4;2;76;24
81;2;10;8;2;76;25
76;1;19;3;2;62;22
81;1;0;7;1;85;23
78;1;13;0;4;70;23
80;1;0;4;2;74;30
80;1;8;8;1;77;25
81;3;8;2;1;98;29
78;1;1;4;4;70;28
82;3;18;2;2;92;22
80;0;9;8;4;58;21
81;1;17;10;3;53;27
82;1;16;8;2;65;25
84;2;3;6;4;78;26
80;1;0;9;3;73;22
80;1;11;2;1;81;21
80;2;16;4;3;67;29
81;3;10;8;1;88;25
81;1;9;1;1;84;15
80;3;20;3;2;85;28
80;2;7;8;4;73;23
78;1;1;9;2;80;20
79;2;11;5;1;89;20
80;1;9;9;2;64;32
81;1;2;8;5;76;18
79;2;21;8;4;65;15
80;1;8;4;2;73;20
83;2;17;5;1;81;25
78;1;7;0;2;78;27
81;3;1;9;1;105;15
83;1;1;2;1;93;18
80;1;21;4;4;64;18
80;3;21;6;4;71;24
80;1;19;8;3;53;24
80;1;22;1;1;74;19
80;2;18;7;2;77;19
80;1;14;8;1;68;28
81;1;19;9;3;57;23
81;1;11;7;2;69;25
81;2;4;9;2;81;28
81;3;19;6;1;84;31
80;1;4;2;1;86;20
79;3;1;8;2;96;17
76;1;0;2;1;81;21
80;1;21;2;3;59;26
79;1;22;0;1;70;21
82;1;2;3;3;75;26
81;3;11;3;2;91;23
80;1;16;3;3;65;34
82;2;1;6;3;82;30
80;1;18;8;1;67;22
78;2;16;7;2;72;23
79;2;12;0;3;80;23
79;1;16;2;1;65;25
79;3;2;5;4;88;20
80;1;5;7;3;73;25
80;1;15;6;2;68;24
79;0;0;2;2;69;36
80;1;20;5;2;62;32
80;2;1;8;1;84;31
80;1;6;1;2;86;20
79;2;1;1;2;90;21
83;1;5;3;1;80;23
78;1;7;1;4;67;27
79;2;22;8;2;72;19
79;1;18;2;2;66;29
78;1;0;4;3;70;27
81;1;14;6;2;65;32
81;2;2;7;2;91;19
83;2;18;6;2;80;19
83;2;4;6;4;85;23
81;1;4;8;3;71;26
78;1;8;0;2;75;32
80;2;15;0;4;69;34
79;0;4;6;2;67;28
79;2;4;8;2;86;17
78;2;5;9;3;84;19
81;2;8;7;2;80;29
80;1;13;8;1;67;27
80;1;14;5;4;64;22
79;0;0;7;2;72;23
81;2;3;1;3;86;25
79;1;0;9;4;65;28
80;2;6;7;3;81;23
81;2;18;5;3;66;28
81;2;7;3;1;86;28
78;0;0;6;1;69;32
81;2;18;10;2;74;31
80;2;21;3;1;77;29
79;1;1;9;1;76;24
81;2;0;2;1;94;22
80;3;8;7;3;85;26
79;1;16;5;3;66;25
78;1;11;8;3;61;31
80;3;13;5;4;82;27
77;2;8;6;2;82;21
79;2;6;7;3;73;27
78;2;11;6;4;77;18
81;1;6;7;3;67;34
80;3;10;7;2;90;26
82;0;6;8;2;67;27
78;2;8;5;2;79;22
79;2;4;8;2;79;22
81;1;0;5;2;81;23
79;2;0;6;1;91;24
82;2;12;3;3;77;30
79;1;9;2;3;74;19
81;3;0;8;1;95;32
80;2;22;3;2;74;19
79;2;8;6;4;76;25
79;3;13;4;2;88;28
81;1;13;3;1;72;27
79;1;5;9;2;66;33
80;2;0;2;3;86;25
80;2;4;5;3;85;29
79;1;22;9;1;55;26
81;2;19;6;4;66;27
77;1;20;7;3;55;22
78;3;8;2;3;90;26
81;1;14;8;4;61;33
79;1;3;7;2;80;21
84;2;13;3;1;85;25
80;1;0;2;3;76;32
81;0;10;3;2;66;30
80;2;14;6;2;76;19
80;2;8;1;3;81;24
78;1;14;3;3;72;22
81;1;2;5;3;77;21
77;2;17;8;1;63;34
81;2;0;7;4;79;25
80;1;8;0;2;81;26
81;2;16;3;2;87;21
77;1;6;9;3;70;20
78;1;14;3;2;67;30
79;1;14;7;3;60;26
77;3;5;5;3;88;22
81;3;4;4;2;94;22
82;1;17;6;3;59;24
78;2;4;8;4;83;18
79;2;7;2;4;81;21
82;1;3;7;4;76;24
77;2;10;2;3;83;21
80;1;12;8;3;73;20
84;2;2;3;3;89;24
82;1;5;8;3;76;19
79;0;3;6;4;58;28
79;3;10;9;4;75;30
80;1;21;9;2;53;26
80;2;0;3;1;96;21
80;2;0;2;4;92;20
80;3;7;4;1;96;24
78;1;4;4;2;77;18
80;0;21;9;2;54;22
80;2;3;8;2;86;24
82;2;3;10;3;79;26
77;1;5;7;2;74;22
82;4;19;0;2;93;33
77;2;20;6;2;74;28
81;2;15;9;3;72;24
80;2;20;5;3;71;22
80;1;12;3;2;71;28
81;1;10;6;3;65;30
82;0;9;3;1;73;21
80;3;8;2;3;96;19
82;4;4;7;2;106;22
81;1;6;9;3;74;20
81;1;16;8;3;66;20
79;1;16;3;2;69;19
82;0;16;3;2;62;25
80;2;19;4;3;80;21
77;1;0;2;2;75;30
80;2;6;3;4;72;35
79;1;17;8;2;67;21
83;1;11;7;3;75;16
80;1;0;9;4;73;25
81;1;2;9;2;72;29
80;1;17;7;3;68;16
79;2;13;0;2;85;27
81;1;22;5;3;55;24
82;2;0;8;3;88;27
77;1;9;7;4;63;27
82;2;10;8;1;83;22
80;1;16;6;3;61;27
80;1;0;1;1;87;23
83;1;22;3;2;64;26
78;1;3;9;2;78;20
79;1;17;6;3;58;28
80;1;3;2;2;81;23
78;2;19;4;3;68;21
79;2;10;9;3;73;25
78;2;0;1;3;86;21
80;3;18;9;2;91;20
79;1;0;7;3;79;18
81;2;1;2;2;88;33
80;2;1;8;2;80;28
81;2;8;5;2;83;27
76;2;0;6;2;85;20
81;1;4;9;2;68;31
80;1;2;1;4;82;17
78;2;5;9;3;79;18
78;2;21;7;2;68;20
78;3;14;0;2;89;28
80;3;11;8;2;90;21
79;1;0;0;3;76;27
81;3;4;8;4;86;24
78;2;7;7;1;80;21
81;2;19;0;3;75;24
79;2;3;4;2;92;21
82;0;18;4;2;65;21
79;2;11;6;4;74;28
83;1;3;8;3;74;21
79;3;5;8;3;90;29
78;2;5;9;4;71;23
80;1;12;2;1;77;27
77;2;8;8;2;82;18
83;1;3;8;2;82;21
81;1;1;5;2;84;23
80;3;1;1;2;99;21
80;2;0;5;3;88;26
79;0;15;8;2;57;20
81;1;20;7;2;62;27
79;0;7;8;2;68;18
81;1;10;3;2;83;16
80;2;17;5;5;63;24
78;3;15;0;2;87;29
79;3;4;8;3;85;26
80;1;6;6;4;68;19
78;1;6;9;2;72;24
82;0;4;6;2;76;17
80;2;12;8;2;82;16
81;1;0;4;1;83;24
81;2;9;7;3;78;21
80;2;4;6;4;76;28
80;2;4;8;1;89;25
83;0;1;7;2;74;21
79;2;9;9;2;80;16
80;1;4;6;3;67;32
81;2;10;5;2;85;28
80;1;12;3;2;75;25
81;1;10;9;2;73;26
81;1;19;7;5;52;26
80;1;2;4;4;73;23
78;2;10;8;2;71;26
79;1;8;9;2;74;22
82;2;0;6;3;87;26
79;2;11;7;2;80;20
80;2;2;7;1;87;18
79;3;0;7;3;93;22
80;1;13;4;2;76;21
78;2;15;9;1;76;15
82;2;5;3;2;83;27
80;2;21;6;3;67;22
80;3;10;9;2;79;32
82;1;0;9;2;83;18
81;3;8;6;4;88;30
82;1;11;7;1;72;24
82;1;21;9;3;53;28
80;2;0;8;3;86;27
76;1;18;8;2;64;18
79;2;19;9;2;69;32
80;3;1;7;5;84;23
81;1;17;2;4;63;33
79;2;7;9;2;79;25
79;2;0;5;2;85;26
80;1;21;4;2;65;21
81;1;3;8;4;76;16
84;3;21;6;1;85;25
82;2;1;6;2;82;32
79;1;15;4;5;64;18
